ID,Glottocode,Noun_Class,Semantic_Categories,Unpossession_Marker_Type,Remark,Coder,Source,dd_Valency,dd_Semantic_Type,dd_Construction_Type_Simplified,dd_Construction_Type_Generic,dd_Unpossession_Construction
ando1256_absolute,ando1256,absolute,default,NA,,NCP,"landaburu1979andoke[151-153, 177-178, 132-134, 78, 103, 319-321]",Optionally possessed,Default,PSSD,MARKER,Noun
ando1256_relative,ando1256,relative,part;kin;intimate_property,SPECIAL_MARKER,"Body parts, plant parts, kinship, parts in general, intimate property.",NCP,"landaburu1979andoke[151-153, 177-178, 132-134, 78, 103, 319-321]",Obligatorily possessed,Inalienable,PSSD,MARKER,MARKER
apur1254_kinship,apur1254,kinship,kin,3,"This is a subset of the inalienable category in the source. Unlike other inalienable nouns, kinship terms can never occur unpossessed. This is attributed to semantic and pragmatic reasons in the source. However, generic examples such as “Grandmothers love to tell stories” are not presented in the grammar. When a kinship term's possessor is not known, the noun appears with 3sg morphology.",NCP,facundes2000apurina[150-215],Obligatorily possessed,Inalienable,JUXT;MARKER,JUXT;MARKER,MARKER
apur1254_alienable,apur1254,alienable,default,NA,"Open class that contains the following categories from the source: compound nouns (productive and non-productive), nouns derived from other categories. It is marked when possessed and unmarked when unpossessed.",NCP,facundes2000apurina[150-215],Optionally possessed,Default,JUXT;MARKER,JUXT;MARKER,Noun
apur1254_classifiers,apur1254,classifiers,plant_part;body,NA,"This is a subset of the inalienable category in the source. Most classifiers are plant parts, but there are a few others, such as body parts and things like 'spot, earth, hole, powder, round'.",NCP,facundes2000apurina[150-215],Obligatorily possessed,Inalienable,MARKER,MARKER,NULL
apur1254_re-nouns,apur1254,re-nouns,mixed,NA,"This class is a part of the alienable nouns in the source. There is no semantic motivation for this class, nor its subclasses based on the PSD suffix each member needs. It is a large class, but not the open class where neologisms go.",NCP,facundes2000apurina[150-215],Optionally possessed,Mixed,PSSD,MARKER,Noun
apur1254_te-nouns,apur1254,te-nouns,mixed,NA,"This class is a part of the alienable nouns in the source. There is no semantic motivation for this class, nor its subclasses based on the PSD suffix each member needs. It is a large class, but not the open class where neologisms go.",NCP,facundes2000apurina[150-215],Optionally possessed,Mixed,PSSD,MARKER,Noun
apur1254_ne-nouns,apur1254,ne-nouns,mixed,NA,"This class is a part of the alienable nouns in the source. There is no semantic motivation for this class, nor its subclasses based on the PSD suffix each member needs. It is a large class, but not the open class where neologisms go.",NCP,facundes2000apurina[150-215],Optionally possessed,Mixed,PSSD,MARKER,Noun
apur1254_body,apur1254,body,body,SPECIAL_MARKER,This class is a subset of the inalienable category in the source. Body parts and very few other nouns have their final vowel nasalized in addition to being suffixed with -txi when unpossessed.,NCP,facundes2000apurina[150-215],Obligatorily possessed,Inalienable,JUXT,JUXT,MARKER
apur1254_property,apur1254,property,intimate_property,SPECIAL_MARKER,"This is a subset of the inalienable category in the source. Apart from personal belongings, some other abstract concepts are categorized here, most of which are relatable to one's body. There are though some seemingly random items, such as 'darkness, dance, vegetables, elder, tapioca'.",NCP,facundes2000apurina[150-215],Obligatorily possessed,Inalienable,JUXT;MARKER,JUXT;MARKER,MARKER
apur1254_reru-nouns,apur1254,reru-nouns,mixed,SPECIAL_MARKER,This class corresponds to mixed nouns in the source. There is no semantic motivation for this class.,NCP,facundes2000apurina[150-215],Obligatorily possessed,Mixed,PSSD,MARKER,MARKER
ariz1237_alienable,ariz1237,alienable,default,NA,"""N that cannot be possessed are referred to as pronouns"". There is some discussion about how only some inanimate nouns can be possessors, but this is probably a semantic limitation.",TH;DI,yegerlehner1957hopitewa[79-80],Optionally possessed,Default,PSSD,MARKER,Noun
awac1239_alienable,awac1239,alienable,default,NA,Two different constructions depending on referentiality and humanness of possessor.,TH,curnow1997awacuaiquer[123],Optionally possessed,Default,JUXT;PSSR,JUXT;MARKER,Noun
awet1244_inalienable,awet1244,inalienable,body;kin;intimate_property,NA,"The source says that a few culturally important items are included in the inalienable class. In the examples of the grammar, we found treated as inalienable: shadow (p. 96), pet bird (p. 130, 302), ancestors (p.142), arrow (p. 147), witchcraft item (p. 161), voice (p. 181), conversation (p. 181), house (p. 199), friend (p. 240), tree (p. 241) (and it is not clear if this is a domesticated tree), sperm (p. 277), name (p. 277). However, 'bow' is not included (p. 106), and neither are comb (p. 109), hammock (p. 118), manioc sprouts (p. 141), feather headdress (p. 183), basket (p. 194), vocal cords (p. 257), fire (p. 267). Inalienables seem not to be marked when not possessed (see example 133 with ""arrow"", p. 169). These notes are entirely based on the segmentation or not of the e- relational prefix in possessive NPs. It is possible that this segmentation is not entirely consistent (e.g. words starting with e-), though no glaring inconsistencies were found.",NCP,reiter2011aweti[106],Optionally possessed,Inalienable,JUXT,JUXT,Noun
awet1244_non-possessible,awet1244,non-possessible,nature_inanimate;wild_animals,NA,There was no example in the grammar of owned natural things or wild animals.,NCP,reiter2011aweti[106],Non-possessible,Non-possessible,NULL,NULL,Noun
awet1244_alienable,awet1244,alienable,default,NA,,NCP,reiter2011aweti[106],Optionally possessed,Default,PSSD,MARKER,Noun
ayor1240_non-possessible,ayor1240,non-possessible,animals;plants,NA,,NCP,ciucci2013inflectional[225-249],Non-possessible,Non-possessible,CLASS,CLASS,Noun
ayor1240_alienable,ayor1240,alienable,default,NA,"This is a subset of the thematic nouns in the source, which is described as the open class. This subset of thematic nouns (which does not need a marker to be unpossessed) contains Spanish loanwords, so we treat it as the default class.",NCP,ciucci2013inflectional[225-249],Optionally possessed,Default,JUXT;PSSD,JUXT;MARKER,Noun
ayor1240_kinship,ayor1240,kinship,kin,SPECIAL_MARKER,"Also ""thread"" in included in this class.",NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Inalienable,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_thematic-dVk,ayor1240,thematic-dVk,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_thematic-gV,ayor1240,thematic-gV,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_prefixal-pV,ayor1240,prefixal-pV,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_thematic-pV,ayor1240,thematic-pV,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_prefixal-dVk,ayor1240,prefixal-dVk,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
ayor1240_radical,ayor1240,radical,mixed,SPECIAL_MARKER,,NCP,ciucci2013inflectional[225-249],Obligatorily possessed,Mixed,JUXT;PSSD,JUXT;MARKER,MARKER
bamb1269_inalienable,bamb1269,inalienable,kin;body,NA,Maybe also part.,TH,dumestre2003bambara[101],Optionally possessed,Inalienable,JUXT,JUXT,Noun
bamb1269_alienable,bamb1269,alienable,default,NA,,TH,dumestre2003bambara[102],Optionally possessed,Default,LINKER,MARKER,Noun
bang1363_inalienable-short,bang1363,inalienable-short,kin,NA,"This class follows the 'short' pattern of pronominal possessors. They include 'father', 'mother', 'uncle', 'aunt', and 'grandfather'",DI;NCP,heath2018bangime[168],Optionally possessed,Inalienable,MARKER;PSSD,MARKER,Noun
bang1363_alienable,bang1363,alienable,default,NA,,TH,heath2018bangime[166],Optionally possessed,Default,PSSD,MARKER,Noun
bang1363_inalienable-regular,bang1363,inalienable-regular,kin,NA,"Most kinship terms follow the 'regular' pattern for pronominal possession. There is also a 'short' pattern where some kin terms differ for the 1st and 2nd person possessors. However, 3sg possession is the same between both classes.",TH;DI;NCP,heath2018bangime[168],Optionally possessed,Inalienable,MARKER;PSSD,MARKER,Noun
bard1255_alienable,bard1255,alienable,default,NA,,TH,bowern2012bardi[333],Optionally possessed,Default,PSSD,MARKER,Noun
bard1255_inalienable,bard1255,inalienable,body,NA,Around half of the body parts only.,TH,bowern2012bardi[357],Optionally possessed,Inalienable,PSSD,MARKER,Noun
basq1248_alienable,basq1248,alienable,default,NA,,TH,hualde2003basque[143],Optionally possessed,Default,PSSR,MARKER,Noun
wara1302_alienable,wara1302,alienable,default,NA,,TH,corris2006grammar[146],Optionally possessed,Default,PSSD,MARKER,Noun
bell1243_alienable,bell1243,alienable,default,NA,Only possession of a ball is mentioned in the examples.,TH,davis1997bellacoola[105],Optionally possessed,Default,PSSD,MARKER,Noun
benc1235_alienable,benc1235,alienable,default,NA,"The grammar claims that kinship terms are always possessed but we found at least one counterexample where ""father"" is not possessed. There are also statistical differences with body parts being more often possessed with juxtaposition, as opposed to the genitive construction. However, both constructions are grammatical.",TH,rapold2006benchnon[498],Optionally possessed,Default,JUXT;PSSR,JUXT;MARKER,Noun
bert1248_family,bert1248,family,nuclear_kin,NA,"This is described as including ""people of the family in which a person is born into"" and the word for ""friend"", although only ""brother"" is exemplified.",DI,neudorf2008berta[35],Optionally possessed,Inalienable,MARKER,MARKER,Noun
bert1248_alienable,bert1248,alienable,default,NA,,TH,neudorf2008berta[34],Optionally possessed,Default,PSSR,MARKER,Noun
bert1248_inalienable,bert1248,inalienable,part,NA,,TH,neudorf2008berta[34],Optionally possessed,Inalienable,PSSR,MARKER,Noun
bilu1245_alienable,bilu1245,alienable,default,NA,,TH,obata2003grammar[98],Optionally possessed,Default,MARKER;PSSR,MARKER,Noun
bilu1245_inalienable,bilu1245,inalienable,kin;body;place_relation,NA,"Including a few other words, e.g. house, garden, friend, tribe. Inalienables can only be distinguished from alienables in pronominal constructions.",TH,obata2003grammar[34],Optionally possessed,Inalienable,MARKER;PSSR,MARKER,Noun
bora1263_alienable,bora1263,alienable,default,NA,"Same prosodic word; there exists an alienable/inalienable distinction (probably body parts), but only visible in the possession predication -- PSSD belong to ALIENABLE.PSSR(sic) vs. PSSD belong to ALIENABLE.PSSR(sic)=ACC.",MV,"seifart2005mirana[64,143ff.];thiesen2012bora[58]",Optionally possessed,Default,PSSR,MARKER,Noun
boro1282_alienable,boro1282,alienable,default,NA,,TH,crowell1979bororo[214],Optionally possessed,Default,PSSD,MARKER,Noun
boro1282_inalienable,boro1282,inalienable,body;kin;intimate_property,NA,"Based on the examples, the inalienables attested in the grammar are: older brother, wife, knife, food, companion, garment, house, bow, hand, father, chief, kinsman, and maybe name.",TH,crowell1979bororo[214],Optionally possessed,Inalienable,PSSD,MARKER,Noun
boro1282_non-possessible,boro1282,non-possessible,animals,NA,"The source claims that this class includes domesticated animals, giving the examples of chickens, horses and dogs. However, there is no reason to believe that any other animal would be treated differently.",TH,crowell1979bororo[214],Optionally possessed,Non-possessible,PSSD,MARKER,Noun
brah1256_alienable,brah1256,alienable,default,NA,"There is no mention of differential possession, but a genitive case with a variety of examples (X's horse, X's son) led to the conclusion that there is only one possession category.",DI,andronov1980brahui[36-37];bray1986brahui[52-53],Optionally possessed,Default,PSSR,MARKER,Noun
buki1249_alienable,buki1249,alienable,default,NA,,TH,conrad1991outline[8],Optionally possessed,Default,PSSR,MARKER,Noun
bulo1242_alienable,bulo1242,alienable,default,NA,,AM,bon2014grammaire[203-204],Optionally possessed,Default,JUXT,JUXT,Noun
buru1296_alienable,buru1296,alienable,default,NA,,TH,munshi2018srinagar[149],Optionally possessed,Default,PSSR,MARKER,Noun
buru1296_inalienable,buru1296,inalienable,body;kin;intimate_property,NA,,TH,munshi2018srinagar[149],Optionally possessed,Inalienable,PSSR-PSSD,MARKER,Noun
cadd1256_nonincorporating,cadd1256,nonincorporating,default,NA,,DI;NCP,chafe2018caddo[15-17];melnar2004verbalmorphology[209-213],Non-possessible,Default,CLAUSE,CLAUSE,Noun
cadd1256_incorporating-uh,cadd1256,incorporating-uh,body;plant_part;intimate_property,NA,"This is a class of bound nouns. It is not clear which nouns get an -ʔuh when they are unpossessed and which do not, but the two categories definitely exist. Body parts and body parts alone are obliged to have an external possessor or possessor raising construction which uses the patientive markers, while other nouns may use patientive or dative markers when undergoing possessor raising. This class of bound nouns also includes inanimate nature, but we think this may be a separate and non-possessible category.",DI;NCP,"melnar2004verbalmorphology[70-72,209-213];chafe2018caddo[15-17,52-55];chafe1976caddo[70-72]",Non-possessible,Inalienable,CLAUSE,CLAUSE,MARKER
cadd1256_incorporating-no-uh,cadd1256,incorporating-no-uh,body;plant_part;intimate_property,NA,"This is a class of bound nouns. It is not clear which nouns get an -ʔuh when they are unpossessed and which do not, but the two categories definitely exist. This class of bound nouns also includes inanimate nature, but we think this may be a separate and non-possessible category.",DI;NCP,"melnar2004verbalmorphology[209-213];chafe2018caddo[15-17,52-55];chafe1976caddo[70-72]",Non-possessible,Inalienable,CLAUSE,CLAUSE,Noun
cadd1256_incorporating-unpossessible,cadd1256,incorporating-unpossessible,nature_inanimate,NA,"This is a class of bound nouns, and it is not completely certain that it is its own unpossessible category, as we have put here. However, we have examples of all the other (semantic groups of) incorporating nouns being possessed, but incorporating nature terms have no examples, in any source we consulted, of entering into a possession construction. This includes terms like 'stick' and 'stone' and 'clay', as well as 'sun', 'wind', and probably others. It is possible that they are unpossessible entirely.",DI;NCP,"melnar2004verbalmorphology[209-213];chafe2018caddo[15-17,52-55];chafe1976caddo[70-72]",Non-possessible,Non-possessible,NULL,NULL,Noun
cahu1264_non-possessible,cahu1264,non-possessible,animals;humans;plants;names;nature_inanimate,NA,"This class of non-possessibles are possessed with classifiers. There is no indication of a classifier that could be used for names or humans, but neither are all classifiers listed (Seiler believes he has given the most common ones, however). We have not split out names and humans into their own, absolutely non-possessible category, because it is possible that they are possessible with an undocumented classifier, or with an appositive construction that functionally behaves as a classifier (such as 'my son, NAME' or 'my friend, the man').",TH;DI;NCP,seiler1977cahuilla[292],Non-possessible,Non-possessible,CLASS,CLASS,Noun
cahu1264_possessible,cahu1264,possessible,default,SPECIAL_MARKER,"It seems that the author believes that absolutive forms are always possible given the right context for all nouns, but they are not attested because of semantic and pragmatic reasons for some body parts and kinship terms. We follow this analysis by grouping kinship and body part terms into our default class.",TH;DI;NCP,seiler1977cahuilla[292],Obligatorily possessed,Default,PSSD,MARKER,MARKER
cams1241_alienable,cams1241,alienable,default,NA,"No alienability distinction is discussed, but it is explicitly mentioned that there is no possession/unpossession distinction. Examples are semantically wide: possession of kinship, god, X's story, a picture of X, the scream of a dog.",DI,"obrien2018kamsa[31,73-75]",Optionally possessed,Default,PSSR,MARKER,Noun
cane1242_alienable,cane1242,alienable,default,NA,"This class contains body parts, kinship terms, property, etc. It seems that, at least in the recent past, it used to be the default class. A part of this class is called relational nouns in the source split in multiple subclasses according to the so-called relational prefixes that appear depending on whether the noun is next to its possessor. We do not consider these prefixes to be relevant for possession, as these relational subclasses also affect some verbs and postpositions. In addition, there is at least one clear example of a possessed kinship term with the seemingly ""unpossession"" relational prefix because it is coordinated along with other kinship terms under the same possessor and it is not next to it. We do not consider this relational prefix phenomenon as interacting with possession at the stage of the language, even though we can imagine it evolving into a possession/unpossession phenomenon or even interacting with differential possession phenomena in other languages.",NCP;DI,"miranda2014kraho[70-82, 104, 120, 143, 156, 170]",Optionally possessed,Default,JUXT;LINKER,JUXT;MARKER,Noun
cane1242_absolute,cane1242,absolute,animals;plants;nature_inanimate,NA,"This class contains animals, plants and natural phenomena. It also contains recent loanwords that refer to artifacts. We think that this originally non-possessible class is gradually becoming the default class as it accepts neologisms and the construction associated with it (using the classifier-like -õ element) has already expanded its use with all nouns. However, since we prefer to code languages before recent contact effects of colonization if at all possible, we have opted for not considering this class as default.",NCP;DI,"miranda2014kraho[70-82, 104, 120, 143, 156, 170]",Optionally possessed,Non-possessible,LINKER,MARKER,Noun
cata1286_alienable,cata1286,alienable,default,NA,,TH,siebert1945catawba[215],Optionally possessed,Default,PSSD,MARKER,Noun
cata1286_inalienable,cata1286,inalienable,body,NA,A few kin and clothing nouns are also inalienable.,TH,siebert1945catawba[215],Optionally possessed,Inalienable,PSSD,MARKER,Noun
cavi1250_alienable,cavi1250,alienable,default,NA,N-GEN N; e-nouns are included here as their possession constructions do not differ.,MV,guillaume2008cavinena[484ff.],Optionally possessed,Default,PSSR,MARKER,Noun
cavi1250_inalienable,cavi1250,inalienable,kin,NA,N-GEN e-N-ke,MV,guillaume2008cavinena[421],Obligatorily possessed,Inalienable,PSSR-PSSD,MARKER,NULL
cayu1262_alienable,cayu1262,alienable,default,NA,"Pronominal possession may have lexical and morphophonological classes, but they are not analyzed/described in the grammar.",TH;NCP,key1967cayubaba[48],Optionally possessed,Default,JUXT,JUXT,Noun
cent2127_alienable,cent2127,alienable,default,NA,"Even though the author says some nouns are obligatorily possessed, it is rather a semantic preference.",TH,miyaoka2012yupik[727];strunk2020pc,Optionally possessed,Default,PSSR-PSSD,MARKER,Noun
kala1400_alienable,kala1400,alienable,default,NA,Alternate forms with nasal: unknown conditioning factor; could potentially be a class.,TH,banks2007kalapuya[12],Optionally possessed,Default,PSSD,MARKER,Noun
cent2050_alienable,cent2050,alienable,default,NA,"The grammar claims there is a distinction for alienability, but does not describe it. There are two possessive constructions applicable to all nouns.",TH,cyffer1998kanuri[57],Optionally possessed,Default,PSSR;PSSR-PSSD,MARKER,Noun
cher1273_SetASwitch,cher1273,SetASwitch,body,3,"Body parts fall into a wide range of possession categories, and which body parts are in which category is unpredictable. Set A prefixes have an alternate 3rd person form ka- which is partially predictable from phonology and partially lexicalized. The lexical difference is not shown in our classes.",DI,montgomeryanderson2008cherokee[409f],Obligatorily possessed,Inalienable,PSSD,MARKER,MARKER
cher1273_SetBSwitch,cher1273,SetBSwitch,body,3,"Body parts fall into a wide range of possession categories, and which body parts are in which category is unpredictable.",DI,montgomeryanderson2008cherokee[409f],Obligatorily possessed,Inalienable,PSSD,MARKER,MARKER
cher1273_SetBoo,cher1273,SetBoo,body,3.INDEF,"Body parts fall into a wide range of possession categories, and which body parts are in which category is unpredictable. This category includes at least 'scar' but its other members are unknown.",DI,montgomeryanderson2008cherokee[409f],Obligatorily possessed,Inalienable,PSSD,MARKER,MARKER
cher1273_default,cher1273,default,default,NA,"This would be the ""open"" class of nouns, if Cherokee had an open class. However, most nouns in Cherokee are deverbal, so the class of nouns is relatively small. Loanwords which are borrowed as nouns end up in this category.",DI,montgomeryanderson2008cherokee[409f],Non-possessible,Default,CLASS,CLASS,Noun
cher1273_SetANull,cher1273,SetANull,body,NA,"Body parts fall into a wide range of possession categories, and which body parts are in which category is unpredictable. Set A prefixes have an alternate 3rd person form ka- which is partially predictable from phonology and partially lexicalized. The lexical difference is not shown in our classes.",DI,montgomeryanderson2008cherokee[409f],Obligatorily possessed,Inalienable,PSSD,MARKER,NULL
cher1273_SetBNull,cher1273,SetBNull,kin;body,NA,"Body parts fall into a wide range of possession categories, and which body parts are in which category is unpredictable. Kinship terms always use Set B prefixes when they are possessed, and use Set A prefixes in predicative constructions where the referent is local.",DI,montgomeryanderson2008cherokee[409f],Obligatorily possessed,Inalienable,PSSD,MARKER,NULL
cher1273_SetBUnpossessible,cher1273,SetBUnpossessible,clothing;body,NA,"The body parts in this category are described as 'blood', 'bone', and 'internal organs', so it is coded as internal body parts. A hypothetical Set A counterpart to this class (a SetANull) is conceivable and may be implied by the grammar, but there are no examples of such a class.",DI,montgomeryanderson2008cherokee[409f],Optionally possessed,Inalienable,PSSD,MARKER,Noun
chim1301_alienable,chim1301,alienable,default,NA,,TH,jany2007chimariko[136],Optionally possessed,Default,PSSD,MARKER,Noun
chim1301_inalienable,chim1301,inalienable,body,NA,,TH,jany2007chimariko[136],Optionally possessed,Inalienable,PSSD,MARKER,Noun
chim1309_body,chim1309,body,body,NA,"Reichel-Dolmatoff says that pronominal possession ""no se usa para designar partes del cuerpo."" Trillos Amaya lists all the uses for the genitive, notably not mentioning body parts. The two examples of body part possession in Reichel-Dolmatoff use a different construction. We take this as indicative that this forms a class.",DI;NCP,reicheldolmatoff1947chimila[18];trillos1996chimila[126-127],Optionally possessed,Inalienable,JUXT;PSSD,JUXT;MARKER,Noun
chim1309_kin,chim1309,kin,kin,NA,"Reichel-Dolmatoff says that possessive markers are ""indispensable"" for body parts. No example of an un-possessed body part appears in Reichel-Dolmatoff or in Trillos Amaya. That is all the information we have about this category.",DI;NCP,reicheldolmatoff1947chimila[18];trillos1996chimila[126-127],Obligatorily possessed,Inalienable,PSSD,MARKER,NULL
chim1309_alienable,chim1309,alienable,default,NA,,DI;NCP,reicheldolmatoff1947chimila[18];trillos1996chimila[126-127],Optionally possessed,Default,PSSD,MARKER,Noun
chip1262_alienable,chip1262,alienable,default,NA,There is nothing mentioned about alienability.,TH,cerron2006chipaya[119],Optionally possessed,Default,PSSR,MARKER,Noun
chiq1248_alienable,chiq1248,alienable,default,NA,"Galeote Tormo calls these nouns “concrete” and they include names, animals, vegetables, places and things. They are contrasted against personal and abstract nouns, both of which we consider to belong to the same possession class, and are semantically restricted. The inclusion of ""things"" strongly implies that this is the expansive, default category.",TH;DI,galeotetormo1993chiquitano[69];tormo2014chiquitano[271-279];sans2015msgrammaire[30],Optionally possessed,Default,JUXT,JUXT,Noun
chiq1248_inalienable,chiq1248,inalienable,kin;body;intimate_property,NA,,TH;DI,galeotetormo1993chiquitano[69],Obligatorily possessed,Inalienable,PSSD,MARKER,NULL
choc1276_alienable,choc1276,alienable,default,NA,,TH,broadwell2006choctaw[53-55],Optionally possessed,Default,PSSD,MARKER,Noun
choc1276_inalienable,choc1276,inalienable,body;kin,NA,Several exceptions.,TH,broadwell2006choctaw[53-55],Optionally possessed,Inalienable,PSSD,MARKER,Noun
chol1282_non-possessible,chol1282,non-possessible,names;wild_animals;nature_inanimate,NA,"Proper names, place names, some wild animals and other nouns (mostly natural phenomena).",TH,alvarez2011chol[114],Non-possessible,Non-possessible,NULL,NULL,Noun
chol1282_inalienable,chol1282,inalienable,nuclear_kin,SPECIAL_MARKER,"In Tila Chol, this class only contains older brother and older sister, but Tumbalá Chol has more words in this class, including body parts and kinship terms.",TH,alvarez2011chol[115],Obligatorily possessed,Inalienable,PSSD,MARKER,MARKER
chol1282_alienable,chol1282,alienable,default,NA,"According to Scott and Warkentin, there is also a construction with a -lel suffix used with a ""reduced number of possessive nouns"" to indicate a special meaning. We have not separated this out from the default class. In the supplementary materials for Mora-Marín (2021), a few examples are given of these -lel possessions, which change ""year"" into ""age"" (only when possessed + -lel) and ""paper"" into something like ""certificate"". We take this to be something like a derivation, and have not included it in our categories for Chol.",TH;DI,alvarez2011chol[116];scottwarkentin1980chol[18-19];moramarin2021mayan,Optionally possessed,Default,PSSD,MARKER,Noun
chol1284_alienable,chol1284,alienable,default,NA,Grammar mentions nothing on possession classes.,TH,bakkerus2005cholon[129],Optionally possessed,Default,PSSD,MARKER,Noun
chuk1273_alienable,chuk1273,alienable,default,NA,Possessor raising is possible for body part terms only.,TH,dunn1999chukchi[228],Optionally possessed,Default,PSSR,MARKER,Noun
chin1286_inalienable,chin1286,inalienable,body;kin;part,NA,,TH,boas1911chinook[607],Obligatorily possessed,Inalienable,PSSD,MARKER,NULL
chin1286_alienable,chin1286,alienable,default,NA,,TH,boas1911chinook[607],Optionally possessed,Default,PSSD,MARKER,Noun
coah1252_inalienable,coah1252,inalienable,body;kin,NA,"Troike seems to be working purely with textual data, so immediately admits that the distinction between alienable and inalienable is uncertain, since it depends on texts. However, he believes that body parts and kinship terms are obligatorily possessed, and gives several lexical examples (presumably indicating that no example of an unpossessed element occurs in the corpora he has available to him). We follow his analysis in assuming such a split.",DI,troike1996coahuilteco[659-660],Obligatorily possessed,Inalienable,JUXT,JUXT,NULL
coah1252_alienable,coah1252,alienable,default,NA,,DI,troike1996coahuilteco[659-660],Optionally possessed,Default,JUXT,JUXT,Noun
coca1259_alienable,coca1259,alienable,default,NA,"There is only a pragmatically marked construction that contains inalienable possession (Vallejos, 2016; 354).",TH;NCP,vallejos2016kukama[190],Optionally possessed,Default,JUXT,JUXT,Noun
cofa1242_alienable,cofa1242,alienable,default,NA,"We conclude there is no distinction from a sentence: ""Possessor phrases do not encode an alienability distinction"".",DI,fischertoappearaingae[22],Optionally possessed,Default,JUXT;PSSR,JUXT;MARKER,Noun
coma1245_alienable,coma1245,alienable,default,NA,"There are some classes but they seem morphologically conditioned (dual, derived etc.).",TH,robinson1990comanche[287],Optionally possessed,Default,PSSR,MARKER,Noun
cree1270_alienable,cree1270,alienable,default,NA,,TH,martin2011creek[138],Optionally possessed,Default,PSSD,MARKER,Noun
cree1270_inalienable,cree1270,inalienable,body;kin;owner;place_relation,NA,"Some other words: home, camp, lord/master.",TH,martin2011creek[135],Optionally possessed,Inalienable,PSSD,MARKER,Noun
cube1242_inalienable,cube1242,inalienable,nuclear_kin,NA,"Only equal or older (by one generation) to ego (spouse, parent, older siblings).",DI,chacon2012cubeo[314-319],Optionally possessed,Inalienable,PSSD,MARKER,Noun
cube1242_alienable,cube1242,alienable,default,NA,,TH;DI,chacon2012cubeo[314-319],Optionally possessed,Default,PSSD;PSSR,MARKER,Noun
