"ID","Glottocode","Class_ID","Construction_Form","Construction_Type","Remark","Coder","Source","dd_Construction_Directness","dd_Construction_Type_Simplified","dd_Construction_Type_Generic"
"apur1254_23","apur1254","apur1254_body","N[Ṽ]-txi","UNPOSSESSION","Most body parts and a few other items nasalize their last vowel in addition to the -txi suffix when unpossessed.","NCP","facundes2000apurina[150-215, 382, 453]",,,
"apur1254_24","apur1254","apur1254_classifiers","NULL","UNPOSSESSION","Classifiers can only occur with a person marker or in a compound.","NCP","facundes2000apurina[168-175, 382, 453]",,,
"apur1254_25","apur1254","apur1254_kinship","3-N","UNPOSSESSION","Kinship terms occur with the 3rd person marker when the possessor is unknown. There is no mention of a generic example with unpossessed kinship terms in the grammar.","NCP","facundes2000apurina[150-160, 382, 453]",,,
"apur1254_26","apur1254","apur1254_property","N-txi","UNPOSSESSION","","TH","facundes2000apurina[150-215, 382, 453]",,,
"apur1254_27","apur1254","apur1254_reru-nouns","N-ru","UNPOSSESSION","","TH","facundes2000apurina[150-215, 382, 453]",,,
"ariz1237_28","ariz1237","ariz1237_alienable","PSSR-bi-PSSD","PSSD","","TH","yegerlehner1957hopitewa[80]","DIRECT","PSSD","MARKER"
"awac1239_29","awac1239","awac1239_alienable","PSSR PSSD","JUXT","Indefinite PSSR.","TH","curnow1997awacuaiquer[123]","DIRECT","JUXT","JUXT"
"awac1239_30","awac1239","awac1239_alienable","PSSR=pa PSSD","PSSR","Adds referentiality/definiteness to PSSR.","TH","curnow1997awacuaiquer[123]","DIRECT","PSSR","MARKER"
"awet1244_31","awet1244","awet1244_inalienable","PSSR PSSD","JUXT","","NCP","reiter2011aweti[106]","DIRECT","JUXT","JUXT"
"awet1244_32","awet1244","awet1244_non-possessible","NULL","POSSESSION","The source claims that non-possessibles never appear with a possessor.","NCP","reiter2011aweti[106]","NULL","NULL","NULL"
"awet1244_33","awet1244","awet1244_alienable","PSSR e-PSSD","PSSD","The marker e- is called a ""relational prefix"". It is considered as a marker of an alienable noun rather than a marker of possession in the grammar. It also appears with nominalizations.","NCP","reiter2011aweti[106]","DIRECT","PSSD","MARKER"
"ayor1240_34","ayor1240","ayor1240_alienable;ayor1240_thematic-pV;ayor1240_thematic-dVk;ayor1240_thematic-gV;ayor1240_prefixal-pV;ayor1240_prefixal-dVk;ayor1240_kinship;ayor1240_radical","PSSR PSSD","JUXT","Genitival relation is expressed by juxtaposition, but ""is quite often reinforced by means of a possessive marker"".","TH;NCP","bertinetto2009ayoreo[38];ciucci2013inflectional[225-249]","DIRECT","JUXT","JUXT"
"ayor1240_35","ayor1240","ayor1240_non-possessible","[prefix]classifier PSSD","PRO_CLASS","No examples with explicit PSSRs.","TH;NCP","bertinetto2009ayoreo[23];ciucci2013inflectional[225-249]","INDIRECT","CLASS","CLASS"
"ayor1240_36","ayor1240","ayor1240_alienable;ayor1240_thematic-pV;ayor1240_thematic-dVk;ayor1240_thematic-gV","PSSR V-PSSD","PSSD[AGR:PSSR]","V stands for thematic vowel. It undergoes mostly regular changes if it is high.","NCP","ciucci2013inflectional[225-249]","DIRECT","PSSD","MARKER"
"ayor1240_37","ayor1240","ayor1240_prefixal-pV;ayor1240_prefixal-dVk","PSSR g-V-PSSD","PSSD[AGR:PSSR]","V stands for thematic vowel. It undergoes mostly regular changes if it is high.","NCP","ciucci2013inflectional[225-249]","DIRECT","PSSD","MARKER"
"ayor1240_38","ayor1240","ayor1240_kinship","PSSR d-V-PSSD","PSSD[AGR:PSSR]","V stands for thematic vowel. It undergoes mostly regular changes if it is high.","NCP","ciucci2013inflectional[225-249]","DIRECT","PSSD","MARKER"
"ayor1240_39","ayor1240","ayor1240_radical","PSSR ∅-PSSD","PSSD[AGR:PSSR]","There are semi-regular patterns of fortition of the first consonant. Radical nouns can have almost any consonant in initial position.","NCP","ciucci2013inflectional[225-249]","DIRECT","PSSD","MARKER"
"ayor1240_40","ayor1240","ayor1240_radical;ayor1240_kinship;ayor1240_prefixal-pV;ayor1240_thematic-pV","pV-N","UNPOSSESSION","","NCP","ciucci2013inflectional[225-249]",,,
"ayor1240_41","ayor1240","ayor1240_thematic-dVk;ayor1240_prefixal-dVk","dVk-N","UNPOSSESSION","","NCP","ciucci2013inflectional[225-249]",,,
"ayor1240_42","ayor1240","ayor1240_thematic-gV","gV-N","UNPOSSESSION","","NCP","ciucci2013inflectional[225-249]",,,
"bamb1269_43","bamb1269","bamb1269_inalienable","PSSR PSSD","JUXT","","TH","dumestre2003bambara[101]","DIRECT","JUXT","JUXT"
"bamb1269_44","bamb1269","bamb1269_alienable","PSSR ká PSSD","LINKER","ká is described as a connector in the grammar. We could not find any evidence of it forming a constituent with either PSSR or PSSD, so we are considering it as a linker.","TH","dumestre2003bambara[102]","DIRECT","LINKER","MARKER"
"bang1363_45","bang1363","bang1363_inalienable-regular","PSSR.PRO set1 PSSD","PRO_MARKER","These kinship terms take the regular pronominal possessors: máá (1sg), àà (2sg), n` (3sg).","DI;NCP","heath2018bangime[168]","DIRECT","MARKER","MARKER"
"bang1363_46","bang1363","bang1363_inalienable-short","PSSR.PRO set2 PSSD","PRO_MARKER","These kinship terms take the short pronominal possessors: 0 (1sg), à (2sg), n` (3sg).","DI;NCP","heath2018bangime[168]","DIRECT","MARKER","MARKER"
"bang1363_47","bang1363","bang1363_alienable","PSSR màà PSSD","PSSD[AGR:PSSR]","","TH","heath2018bangime[166]","DIRECT","PSSD","MARKER"
"bang1363_48","bang1363","bang1363_inalienable-regular;bang1363_inalienable-short","PSSR n` PSSD","PSSD[AGR:PSSR]","","TH","heath2018bangime[168]","DIRECT","PSSD","MARKER"
"bard1255_49","bard1255","bard1255_alienable","PSSR POSS(pers) PSSD","PSSD[AGR:PSSR]","Lots of variation with order possible, also personal pronoun PLUS possessive pronoun possible.","TH","bowern2012bardi[333]","DIRECT","PSSD","MARKER"
"bard1255_50","bard1255","bard1255_inalienable","PSSR person-PSSD","PSSD[AGR:PSSR]","","TH","bowern2012bardi[304]","DIRECT","PSSD","MARKER"
"basq1248_51","basq1248","basq1248_alienable","PSSR-en PSSD","PSSR","There is another relational construction -ko that MIGHT have some 'part' attributes, but generally genitive is for possession.","TH","hualde2003basque[143]","DIRECT","PSSR","MARKER"
"wara1302_52","wara1302","wara1302_alienable","PSSD-pers PSSR","PSSD[AGR:PSSR]","","TH","corris2006grammar[146]","DIRECT","PSSD","MARKER"
"bell1243_53","bell1243","bell1243_alienable","PSSD-[Person] PSSR","PSSD[AGR:PSSR]","Same as event person markers except 3SG, which is always -s here.","TH","davis1997bellacoola[105]","DIRECT","PSSD","MARKER"
"benc1235_54","benc1235","benc1235_alienable","PSSR PSSD","JUXT","Juxtaposition is more common with inalienables, but they also have access to the genitive construction.","DI","rapold2006benchnon[460]","DIRECT","JUXT","JUXT"
"benc1235_55","benc1235","benc1235_alienable","PSSR-GEN PSSD","PSSR","The genitive construction is strongly preferred under topicalization.","TH;DI","rapold2006benchnon[498]","DIRECT","PSSR","MARKER"
"bert1248_56","bert1248","bert1248_family","PSSD-possessor.of.kin","PRO_MARKER","Close kinship terms have different possessor suffixes from default (+part/whole) pronominal possession. However, the 1st person singular and plural suffixes are identical with both close kinship and the default (with the exception that 1sg can be null-marked with close kinship).","DI","neudorf2008berta[35]","DIRECT","MARKER","MARKER"
"bert1248_57","bert1248","bert1248_alienable","PSSD PSSR-u/-o","PSSR","","TH","neudorf2008berta[34]","DIRECT","PSSR","MARKER"
"bert1248_58","bert1248","bert1248_inalienable","PSSD PSSR na","PSSR","","TH","neudorf2008berta[34]","DIRECT","PSSR","MARKER"
"bilu1245_59","bilu1245","bilu1245_inalienable","PRO-PSSD","PRO_MARKER","Inalienable nouns can only be distinguished in pronominal possession.","TH","obata2003grammar[99]","DIRECT","MARKER","MARKER"
"bilu1245_60","bilu1245","bilu1245_alienable","PRO=pers[PSSD] PSSD","PRO_MARKER","This construction is the same as the construction for nominal possession, but with a pronoun in the place of the PSSR.","TH;DI;NCP","obata2003grammar[100-102]","DIRECT","MARKER","MARKER"
"bilu1245_61","bilu1245","bilu1245_alienable;bilu1245_inalienable","PSSR=pers[PSSD] PSSD","PSSR[AGR:PSSD]","Any noun except for ngavi ‘self' and male ‘match’ can take this, which must be directly possessed (p. 98).","TH","obata2003grammar[101]","DIRECT","PSSR","MARKER"
"bora1263_62","bora1263","bora1263_alienable","PSSR-GEN.TONE PSSD","PSSR","Same prosodic word; there exists an alienable/inalienable distinction (probably body parts), but only visible in the possession predication -- PSSD belong to ALIENABLE.PSSR(sic) vs. PSSD belong to ALIENABLE.PSSR(sic)=ACC.","MV","seifart2005mirana[64,143ff.];thiesen2012bora[58]","DIRECT","PSSR","MARKER"
"boro1282_63","boro1282","boro1282_alienable","PSSR person.set2 PSSD","PSSD[AGR:PSSR]","This is the 2nd paradigm of possessive markers in the grammar used for all nouns except animals and inalienable nouns. It looks a lot like a classifier construction and historically most likely was, but there is no synchronic evidence that the presumed classifier functions as a noun.","TH","crowell1979bororo[216]","DIRECT","PSSD","MARKER"
"boro1282_64","boro1282","boro1282_inalienable","PSSR person.set1-PSSD","PSSD[AGR:PSSR]","This paradigm of possessive markers is the same as that used for verbal indexation.","TH","crowell1979bororo[215]","DIRECT","PSSD","MARKER"
"boro1282_65","boro1282","boro1282_non-possessible","PSSR person.set3 PSSD","PSSD[AGR:PSSR]","This is the 3rd paradigm of possessive markers in the grammar used only for animals. It looks a lot like a classifier construction and historically most likely was, but there is no synchronic evidence that the presumed classifier functions as a noun.","TH","crowell1979bororo[216]","DIRECT","PSSD","MARKER"
"brah1256_66","brah1256","brah1256_alienable","PSSR-GEN PSSD","PSSR","","DI","andronov1980brahui[36-37];bray1986brahui[52-53];elfenbein1998brahui[409]","DIRECT","PSSR","MARKER"
"buki1249_67","buki1249","buki1249_alienable","PSSR-POSS-number[PSSD] PSSD","PSSR + PSSR[AGR:PSSD]","Order seems free, and possession can be marked on a determiner of PSSR instead of PSSR.","TH","conrad1991outline[59]","DIRECT","PSSR","MARKER"
"bulo1242_68","bulo1242","bulo1242_alienable","PSSD PSSR","JUXT","Head-first juxtaposition used for genitive relationships for both nominal and pronominal possessors.","AM","bon2014grammaire[203-204]","DIRECT","JUXT","JUXT"
"buru1296_69","buru1296","buru1296_alienable","PSSR-GEN PSSD","PSSR[AGR:PSSR]","It does not state this specifically in the grammar, but inferred from examples.","TH","munshi2018srinagar[151]","DIRECT","PSSR","MARKER"
"buru1296_70","buru1296","buru1296_inalienable","PSSR-GEN person-PSSD","PSSR[AGR:PSSR] + PSSD[AGR:PSSR]","The genitive marker on PSSR agrees with the PSSR.","TH","munshi2018srinagar[151]","DIRECT","PSSR-PSSD","MARKER"
"cadd1256_71","cadd1256","cadd1256_incorporating-uh;cadd1256_incorporating-no-uh","PSSR SUB=3.BEN-PSSD-be","CLAUSE","This construction incorporates the noun into the verb 'to be' (yaʔah) and then possesses it externally.","DI;NCP","chafe2018caddo[52-55,190-191,196,210,289]","INDIRECT","CLAUSE","CLAUSE"
"cadd1256_72","cadd1256","cadd1256_incorporating-uh","PSSR PSSD-ʔuh SUB=3.BEN-be","CLAUSE","The -ʔuh suffix is the suffix used to make a free noun from a bound noun in the incorporating-uh class. So in this construction, the noun is possessed the way free nouns are possessed, but has to have the free noun suffix attached first in order to do that. An example of the incorporating word 'book' possessed using this construction is given in the dictionary in Chafe (2018), and we surmise that it extends to the whole class.","DI;NCP","chafe2018caddo[52-55,190-191,196,210,289]","INDIRECT","CLAUSE","CLAUSE"
"cadd1256_73","cadd1256","cadd1256_incorporating-no-uh;cadd1256_nonincorporating","PSSR PSSD SUB=3.BEN-be","CLAUSE","This clausal construction is used when the noun is unable to be incorporated into the 'be' verb. It is also, we believe, available to incorporating verbs when the speaker chooses not to incorporate them, based on an example of such a construction for 'book' in Chafe (2018).","DI;NCP","chafe2018caddo[52-55,190-191,196,210,289]","INDIRECT","CLAUSE","CLAUSE"
"cadd1256_74","cadd1256","cadd1256_incorporating-unpossessible","NULL","POSSESSION","There are no examples in any source of incorporating nature words being possessed.","DI;NCP","chafe2018caddo;chafe1976caddo;melnar1998verbal","NULL","NULL","NULL"
"cadd1256_75","cadd1256","cadd1256_incorporating-uh","N-ʔuh","UNPOSSESSION","","DI;NCP","chafe2018caddo[15-17];chafe1976caddo[70-72]",,,
"cahu1264_76","cahu1264","cahu1264_non-possessible","PSSR PSSD person-CLASS","CLASS","The classifiers used for possession are all deverbal nouns. Only pronominal possession is discussed, but pronouns are independent words, suggesting that this order is used even for nominal possession. A variety of classifiers are given in the source for inanimate entities, plants and their various uses, and animals. No classifier listed seems suitable for names and humans, so it is conceivable that these nouns are absolutely non-possessible. However, the list of classifiers given is not exhaustive, so we have opted to not separate names and humans as a separate class.","TH","seiler1977cahuilla[284]","INDIRECT","CLASS","CLASS"
"cahu1264_77","cahu1264","cahu1264_possessible","PSSR person-PSSD","PSSD[AGR:PSSR]","Only pronominal possession is discussed, but pronouns are independent words, suggesting that this order is used even for nominal possession.","TH","seiler1977cahuilla[300]","DIRECT","PSSD","MARKER"
"cahu1264_78","cahu1264","cahu1264_possessible","N-ABS","UNPOSSESSION","The absolutive suffix (which marks a noun as non-possessed) takes many morphologically-conditioned forms: /t/, /š/, /l/, and /l̃/. It seems that the author believes that absolutive forms are always possible given the right context for all nouns, but they are not attested because of semantic and pragmatic reasons for some body parts and kinship terms.","DI;NCP","seiler1977cahuilla[65]",,,
"cams1241_79","cams1241","cams1241_alienable","PSSR-be PSSD","PSSR","The -be is a genitive marker.","DI","obrien2018kamsa[73-75]","DIRECT","PSSR","MARKER"
"cane1242_80","cane1242","cane1242_alienable","PSSR (rel1)PSSD","JUXT","Many nouns using this construction are so-called relational nouns and an R1 relational prefix appears when the possessed noun is next to its possessor. However, we do not consider this phenomenon to be related to possession per se, as explained in the corresponding alienable class entry.","NCP;DI","miranda2014kraho[70-82, 104, 120, 143, 156, 170]","DIRECT","JUXT","JUXT"
"cane1242_81","cane1242","cane1242_alienable;cane1242_absolute","PSSR j-õ (rel)PSSD","LINKER","The element -õ is most probably an old classifier and a relational noun (of the j-/h- subclass). However, we could not find any sunchronic evidence of it being used in other contexts as a noun, nor any clear indication that it forms a constituent with either the possessor or the possessed. We have therefore considered it a linker. This construction, most probably originally limited to absolute nouns, is now used with any noun. When relational nouns are possessed through this construction it is unclear what relational prefix they appear with: we have found examples with both the R1 and the R2 prefix.","NCP;DI","miranda2014kraho[70-82, 104, 120, 143, 156, 170]","DIRECT","LINKER","MARKER"
"cane1242_82","cane1242","cane1242_alienable;cane1242_absolute","N","UNPOSSESSION","We do not consider this as a special unpossession construction, but we list it here for clarity regarding the relational nouns that when unpossessed appear with the R2 prefix (note that the reverse is not always true). As explained in the alienable class entry, we do not consider the relational prefix phenomenon to be related to possession per se.","NCP;DI","miranda2014kraho[70-82, 104, 120, 143, 156, 170]",,,
"cata1286_83","cata1286","cata1286_alienable","PSSRdef PSSD-person","PSSD[AGR:PSSR]","","TH","siebert1945catawba[215]","DIRECT","PSSD","MARKER"
"cata1286_84","cata1286","cata1286_alienable","PSSD-person PSSRindef","PSSD[AGR:PSSR]","","TH","siebert1945catawba[215]","DIRECT","PSSD","MARKER"
"cata1286_85","cata1286","cata1286_inalienable","PSSRdef person-PSSD","PSSD[AGR:PSSR]","","TH","siebert1945catawba[215]","DIRECT","PSSD","MARKER"
"cata1286_86","cata1286","cata1286_inalienable","person-PSSD PSSRindef","PSSD[AGR:PSSR]","","TH","siebert1945catawba[215]","DIRECT","PSSD","MARKER"
"cavi1250_87","cavi1250","cavi1250_alienable","PSSR-GEN PSSD","PSSR","e- nouns behave the same as alienable nouns in both possession and unpossession, so they are not considered a separate noun possession class.","MV","guillaume2008cavinena[484ff.]","DIRECT","PSSR","MARKER"
"cavi1250_88","cavi1250","cavi1250_inalienable","PSSR-GEN e-PSSD-ke","PSSR + PSSD[AGR:PSSR]","This construction is only for kinship terms.","MV","guillaume2008cavinena[421]","DIRECT","PSSR-PSSD","MARKER"
"cavi1250_89","cavi1250","cavi1250_inalienable","NULL","UNPOSSESSION","Grammar claims that kinship terms cannot appear without a possessor.","MV","guillaume2008cavinena[418-421]",,,
"cayu1262_90","cayu1262","cayu1262_alienable","PSSD PSSR","JUXT","","TH","key1967cayubaba[50]","DIRECT","JUXT","JUXT"
"cent2127_91","cent2127","cent2127_alienable","PSSR.REL PSSD-[ABS]","PSSR[AGR:PSSR] + PSSD[AGR:PSSR]","There are different relative affixes for nouns, and they agree in number with the noun they modify.","TH","miyaoka2012yupik[723]","DIRECT","PSSR-PSSD","MARKER"
"kala1400_92","kala1400","kala1400_alienable","PSSR [person]-PSSD","PSSD[AGR:PSSR]","","TH","banks2007kalapuya[11]","DIRECT","PSSD","MARKER"
"cent2050_93","cent2050","cent2050_alienable","PSSD PSSR-GEN","PSSR","","TH","cyffer1998kanuri[50]","DIRECT","PSSR","MARKER"
"cent2050_94","cent2050","cent2050_alienable","PSSR-GEN PSSD-pers[PSSR]","PSSR + PSSD[AGR:PSSR]","","TH","cyffer1998kanuri[50]","DIRECT","PSSR-PSSD","MARKER"
"cher1273_95","cher1273","cher1273_default","PSSR [person]-ajeeli(iʔi) PSSD","CLASS","It might be the case that the order PSSR PSSD [person]-ajeeli works as well (this is attested in pronominal possession). The word -ajeeli(iʔi) is described as a 'noun' but it is never attested outside of possession and its meaning is unclear. However, it can be used alone (without the PSSD) to mean ""PSSR's thing."" Based on this , we are considering -ajeeli(iʔi) to project its own head and that this construction is of the classifier type. This would be the open class of nouns, if there were one (but most nouns are deverbal). Loanwords go into this class.","DI;TH","montgomeryanderson2008cherokee[409f,525]","INDIRECT","CLASS","CLASS"
"cher1273_96","cher1273","cher1273_SetANull;cher1273_SetASwitch","PSSR SetAPrefix-PSSD","PSSD[AGR:PSSR]","These nouns are possessed with a SetA prefix. Some nouns take a 3rd person ka- Set A prefix and others take an a-. This distinction is partially phonological and partially lexical, and ka- vs. a- prefixation is not given within the categories present.","DI","montgomeryanderson2008cherokee[409f]","DIRECT","PSSD","MARKER"
"cher1273_97","cher1273","cher1273_SetBNull;cher1273_SetBSwitch;cher1273_SetBoo;cher1273_SetBUnpossessible","PSSR SetBPrefix-PSSD","PSSD[AGR:PSSR]","These nouns are possessed with a SetB prefix.","DI","montgomeryanderson2008cherokee[409f]","DIRECT","PSSD","MARKER"
"cher1273_98","cher1273","cher1273_SetANull;cher1273_SetBNull","NULL","UNPOSSESSION","","DI","montgomeryanderson2008cherokee[409f, 427-428]",,,
"cher1273_99","cher1273","cher1273_SetBoo","oo-N","UNPOSSESSION","The oo- is an indefinite third person available only to SetB words.","DI","montgomeryanderson2008cherokee[409f, 427-428]",,,
"cher1273_100","cher1273","cher1273_SetBSwitch","3.SetA-N","UNPOSSESSION","Some Set A possession class words are unpossessed with a Set B (3rd person) prefix. Sometimes this also includes a change in the nominal root, which looks like the removal of a (possibly frozen) suffix.","DI","montgomeryanderson2008cherokee[409f, 427-428]",,,
"cher1273_101","cher1273","cher1273_SetASwitch","3.SetB-N","UNPOSSESSION","Some Set B possession class words are unpossessed with a Set A (3rd person) prefix. Sometimes this also includes a change in the nominal root, which looks like the removal of a (possibly frozen) suffix.","DI","montgomeryanderson2008cherokee[409f, 427-428]",,,
"chim1301_102","chim1301","chim1301_alienable","PSSR PSSD-[alienable.suffix]","PSSD[AGR:PSSR]","Coincide with the bound pronominal forms except 3rd person.","TH","jany2007chimariko[136]","DIRECT","PSSD","MARKER"
"chim1301_103","chim1301","chim1301_inalienable","PSSR [inalienable.prefix]-PSSD","PSSD[AGR:PSSR]","","TH","jany2007chimariko[136]","DIRECT","PSSD","MARKER"
"chim1309_104","chim1309","chim1309_body","PSSR PSSD","JUXT","This construction is inferred from two examples present in Reichel-Dolmatoff 1947. No possession of body parts found in Trillos 1996.","DI;NCP","reicheldolmatoff1947chimila[17];trillos1996chimila","DIRECT","JUXT","JUXT"
"chim1309_105","chim1309","chim1309_body","PSSD-ni PSSR","PSSD","This construction is inferred from two examples present in Reichel-Dolmatoff 1947. No possession of body parts found in Trillos 1996. It is unclear what the suffix -ni exactly is. It appears to also be able to mark definiteness.","DI;NCP","reicheldolmatoff1947chimila[17];trillos1996chimila","DIRECT","PSSD","MARKER"
"chim1309_106","chim1309","chim1309_alienable;chim1309_kin","[person]-PSSD PSSR","PSSD[AGR:PSSR]","The person marker agrees with 3rd person in the case of nominal possession, but otherwise changes to a different person with pronominal possession.","DI;NCP","trillos1996chimila[126]","DIRECT","PSSD","MARKER"
"chim1309_107","chim1309","chim1309_kin","NULL","UNPOSSESSION","The source claims that possessive person markers are ""indispensable"" for kinship terms. We interpret this as implying that kinship terms cannot be unpossessed.","DI;NCP","reicheldolmatoff1947chimila[18];trillos1996chimila[126-127]",,,
"chip1262_108","chip1262","chip1262_alienable","PSSR-[suffix] PSSD","PSSR[AGR:PSSR]","The grammar says that there is a juxtaposition construction for inanimate possessors, but the examples look as though they may be compounds ('stone house', 'mud pot'), and for others it looks like both juxtaposition and an overt genitive are possible ('river shore', 'shore of the river').","TH","cerron2006chipaya[119]","DIRECT","PSSR","MARKER"
"chiq1248_109","chiq1248","chiq1248_inalienable","[person]-PSSD PSSR","PSSD[AGR:PSSR]","","DI;TH","galeotetormo1993chiquitano[69];tormo2014chiquitano[271-279];sans2015msgrammaire[30]","DIRECT","PSSD","MARKER"
"chiq1248_110","chiq1248","chiq1248_inalienable","NULL","UNPOSSESSION","There is no indication of an unpossession construction in any grammar, and this class of nouns is described as obligatorily possessed.","DI;TH","galeotetormo1993chiquitano[69];tormo2014chiquitano[271-279];sans2015msgrammaire[30]",,,
"chiq1248_111","chiq1248","chiq1248_alienable","PSSD PSSR","JUXT","This construction is inferred for the alienable class, rather than discussed ovetly in the grammar. In the sole example of one of these nouns being possessed, ""the disciples of Jesus"", the construction juxtaposes the two nouns in this order. This analysis is slightly confirmed by the construction of the inalienable nouns, which have the same order but with a personal prefix on the PSSD noun.","DI;TH","galeotetormo1993chiquitano[69];tormo2014chiquitano[271-279];sans2015msgrammaire[30]","DIRECT","JUXT","JUXT"
