"Feature","Language","Glottocode","WarningText","Comment","Coder"
"NounPoss","Cherokee","cher1273","Unique construction for cher1273_SetBUnpossessible not found in constructions.","","DI;TH"
"NounPoss","Cofán","cofa1242","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd,pssd-pssr","","DI"
"NounPoss","Huastec","huas1242","Unique construction for huas1242_Class1.4 not found in constructions.","","DI"
"NounPoss","Huastec","huas1242","Unique construction for huas1242_Class3.4 not found in constructions.","","DI"
"NounPoss","Huastec","huas1242","Unique construction for huas1242_Class3.5 not found in constructions.","","DI"
"NounPoss","Huastec","huas1242","Unique construction for huas1242_Class1.5 not found in constructions.","","DI"
"NounPoss","Jaqaru","jaqa1244","WO-03 claims the order is PSSD-PSSR, but the only orders found in NounPoss are  pssr-pssd","","DI"
"NounPoss","Karajá","kara1500","Unique construction for kara1500_ɗ-class-d not found in constructions.","","DI"
"NounPoss","Karajá","kara1500","Unique construction for kara1500_ɗ-class-l not found in constructions.","","DI"
"NounPoss","Karajá","kara1500","Unique construction for kara1500_ɗ-class-d-ha not found in constructions.","","DI"
"NounPoss","Karajá","kara1500","Unique construction for kara1500_ɗ-class-l-ha not found in constructions.","","DI"
"NounPoss","Malinaltepec Me'phaa","mali1285","Unique construction for mali1285_Class1-inalienable not found in constructions.","","DI"
"NounPoss","Malinaltepec Me'phaa","mali1285","Unique construction for mali1285_Class2-inalienable not found in constructions.","","DI"
"NounPoss","Malinaltepec Me'phaa","mali1285","Unique construction for mali1285_Class1 not found in constructions.","","DI"
"NounPoss","Malinaltepec Me'phaa","mali1285","Unique construction for mali1285_Class2 not found in constructions.","","DI"
"NounPoss","Mezontla Popoloca","mezo1235","Unique construction for mezo1235_A-B not found in constructions.","","DI"
"NounPoss","Mochica","moch1259","Unique construction for moch1259_inalienable-1 not found in constructions.","","DI"
"NounPoss","Nanti","nant1250","WO-03 claims the order is PSSD-PSSR, but the only orders found in NounPoss are  pssr-pssd","","DI"
"NounPoss","Natchez","natc1249","WO-03 claims no information for possession order, but NounPoss contains the orders pssd-pssr","","DI"
"NounPoss","Taos Northern Tiwa","nort1550","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","DI"
"NounPoss","North Slavey","nort2942","Unique construction for nort2942_inalienable2 not found in constructions.","","TH;DI"
"NounPoss","Pipil","pipi1250","Unique construction for pipi1250_inalienable not found in constructions.","","DI"
"NounPoss","Sáliba","sali1298","WO-03 claims the order is PSSD-PSSR, but the only orders found in NounPoss are  pssr-pssd","","DI"
"NounPoss","Sanapaná","sana1298","Unique construction for sana1298_inalienable not found in constructions.","","DI"
"NounPoss","San Dionisio del Mar Huave","sand1278","Unique construction for sand1278_class2 not found in constructions.","","TH;DI"
"NounPoss","Seri","seri1257","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","DI"
"NounPoss","Siuslaw","sius1254","WO-03 claims no dominant order for possession, but no order found for default class in NounPoss.","","DI"
"NounPoss","Southern Haida","sout2956","Unique construction for sout2956_inalienable not found in constructions.","","DI"
"NounPoss","Tohono O'odham","toho1245","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd,pssd-pssr","","DI"
"NounPoss","Trinitario-Javeriano-Loretano","trin1274","Unique construction for trin1274_nonpossessible not found in constructions.","","DI"
"NounPoss","Wapishana","wapi1253","Unique construction for wapi1253_inalienable-nonobl not found in constructions.","","DI"
"NounPoss","Wayuu","wayu1243","Unique construction for wayu1243_alienable-0 not found in constructions.","","DI"
"NounPoss","Yanesha'","yane1238","Unique construction for yane1238_alienable-Vr not found in constructions.","","DI"
"NounPoss","Yanesha'","yane1238","Unique construction for yane1238_obligatory not found in constructions.","","DI"
"NounPoss","Yanesha'","yane1238","Unique construction for yane1238_obligatory-Vr not found in constructions.","","DI"
"NounPoss","Yanesha'","yane1238","Unique construction for yane1238_body not found in constructions.","","DI"
"NounPoss","Yanesha'","yane1238","Unique construction for yane1238_kin-Vr not found in constructions.","","DI"
"NounPoss","Yucatec Maya","yuca1254","Unique construction for yuca1254_convertible not found in constructions.","","DI"
"NounPoss","Yucatec Maya","yuca1254","Unique construction for yuca1254_neutral not found in constructions.","","DI"
"NounPoss","Yucatec Maya","yuca1254","WO-03 claims the order is PSSR-PSSD, but the orders found in NounPoss are  pssd-pssr","","DI"
"NounPoss","Záparo","zapa1253","WO-03 claims the order is PSSR-PSSD, but the orders found in NounPoss are  pssd-pssr","","DI"
"NounPoss","Caddo","cadd1256","Unique construction for cadd1256_nonincorporating not found in constructions.","","DI;NCP"
"NounPoss","Caddo","cadd1256","Unique construction for cadd1256_incorporating-no-uh not found in constructions.","","DI;NCP"
"NounPoss","Caddo","cadd1256","The class cadd1256_incorporating-uh has both an INDIRECT possession construction and a UNPOSSESSION construction.","","DI;NCP"
"NounPoss","Caddo","cadd1256","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","DI;NCP"
"NounPoss","Parecís","pare1272","Unique construction for pare1272_alienable-ne not found in constructions.","","DI;NCP"
"NounPoss","Parecís","pare1272","Unique construction for pare1272_inalienable not found in constructions.","","DI;NCP"
"NounPoss","Parecís","pare1272","Unique construction for pare1272_deverbal-nouns not found in constructions.","","DI;NCP"
"NounPoss","Tariana","tari1256","The class tari1256_inalienable has both an INDIRECT possession construction and a UNPOSSESSION construction.","","DI;NCP"
"NounPoss","Tutelo","tute1247","WO-03 claims no information for possession order, but NounPoss contains the orders pssd-pssr","","DI;NCP"
"NounPoss","Yanomám","yano1262","Unique construction for yano1262_meronym not found in constructions.","","DI;NCP"
"NounPoss","Ayoreo","ayor1240","Unique construction for ayor1240_thematic-dVk not found in constructions.","","TH;NCP"
"NounPoss","Ayoreo","ayor1240","Unique construction for ayor1240_prefixal-pV not found in constructions.","","TH;NCP"
"NounPoss","Ayoreo","ayor1240","Unique construction for ayor1240_thematic-pV not found in constructions.","","TH;NCP"
"NounPoss","Ayoreo","ayor1240","Unique construction for ayor1240_prefixal-dVk not found in constructions.","","TH;NCP"
"NounPoss","Laal","laal1242","Unique construction for laal1242_fusible not found in constructions.","","NCP"
"NounPoss","Canela-Krahô","cane1242","Unique construction for cane1242_absolute not found in constructions.","","NCP;DI"
"NounPoss","Ma'di","madi1260","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd,pssd-pssr","","DI;NCP"
"NounPoss","Nakara","naka1260","Unique construction for naka1260_suffix-body not found in constructions.","","DI;NCP"
"NounPoss","Nakara","naka1260","Unique construction for naka1260_suffix-kin not found in constructions.","","DI;NCP"
"NounPoss","Abun","abun1252","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","TH"
"NounPoss","Hokkaido Ainu","ainu1240","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","TH"
"NounPoss","Maricopa","mari1440","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","TH;DI;NCP"
"NounPoss","Miyako-Jima","miya1260","WO-03 claims the order is PSSD-PSSR, but the only orders found in NounPoss are  pssr-pssd","","TH"
"NounPoss","Murriny Patha","murr1258","WO-03 claims the order is PSSR-PSSD, but the orders found in NounPoss are  pssd-pssr","","TH"
"NounPoss","Limilngan","nucl1327","Unique construction for nucl1327_kin not found in constructions.","","TH;DI;NCP"
"NounPoss","Urningangg","urni1239","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","TH;DI;NCP"
"NounPoss","Bauni","wara1302","WO-03 claims the order is PSSR-PSSD, but the orders found in NounPoss are  pssd-pssr","","TH"
"NounPoss","Wichita","wich1260","WO-03 claims no information for possession order, but NounPoss contains the orders pssr-pssd","","TH"
"NounPoss","Highland Oaxaca Chontal","high1242","Unique construction for high1242_class2 not found in constructions.","","TH;DI;NCP"
"NounPoss","Kitja","kitj1240","WO-03 claims the order is PSSR-PSSD, but no order found for default class in NounPoss.","","TH;DI;NCP"
"NounPoss","Fulniô","fuln1247","Unique construction for fuln1247_inalienable not found in constructions.","","TH;NCP;DI"
"NounPoss","Malecite-Passamaquoddy","male1292","Unique construction for male1292_dependent-inanimate not found in constructions.","","TH;NCP;DI"
"NounPoss","Malecite-Passamaquoddy","male1292","Unique construction for male1292_dependent-animate not found in constructions.","","TH;NCP;DI"
"NounPoss","Malecite-Passamaquoddy","male1292","Unique construction for male1292_loan-kin not found in constructions.","","TH;NCP;DI"
"NounPoss","Malecite-Passamaquoddy","male1292","Unique construction for male1292_alienable-inanimate not found in constructions.","","TH;NCP;DI"
"NounPoss","Malecite-Passamaquoddy","male1292","Unique construction for male1292_alienable-animate not found in constructions.","","TH;NCP;DI"
"Glot","Tuscarora","tusc1257","Glot-01 is not 'yes' but Glot-02 - Glot-06 contains at least one 'yes'","","DI"
"Glot","Wari'","wari1268","Glot-01 is not 'yes' but Glot-02 - Glot-06 contains at least one 'yes'","","auto"
"Cor","Awetí","awet1244","Cor-07 = 'yes', it is expected that Cor-03 != 1","","NCP"
"ToneProm","Kakua","cacu1241","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","AG;KPVD"
"ToneProm","Cherokee","cher1273","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Chimila","chim1309","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","AG;KPVD"
"ToneProm","Creek","cree1270","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD;SH"
"ToneProm","Cubeo","cube1242","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","AG;KPVD"
"ToneProm","Galo","galo1242","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Hopi","hopi1249","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Ingush","ingu1240","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","NCP"
"ToneProm","Maba (Chad)","maba1277","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","AG;KPVD"
"ToneProm","Magdalena Peñasco Mixtec","magd1235","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","DI"
"ToneProm","North Slavey","nort2942","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Pech","pech1241","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Pirahã","pira1253","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","AG;KPVD"
"ToneProm","Querétaro Otomi","quer1236","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","DI"
"ToneProm","Shasta","shas1239","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Sierra de Juárez Zapotec","sier1250","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Teribe","teri1250","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Tlingit","tlin1245","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"ToneProm","Wichita","wich1260","Both tone and accent present: ToneProm-01 == yes & ToneProm-09 == yes","","KPVD"
"SgPl","Huallaga Huánuco Quechua","hual1241","SgPl-01 == no & SgPl-19 == yes","","AG;SH"
"SgPl","Kusunda","kusu1250","SgPl-01 == no & SgPl-19 == yes","","AG"
"SgPl","Northwest Maidu","nort2951","SgPl-01 == no & SgPl-19 == yes","","SH"
"SgPl","North Junín Quechua","nort2980","SgPl-01 == no & SgPl-19 == yes","","AG;SH"
"SgPl","Urarina","urar1246","SgPl-01 == no & SgPl-19 == yes","","AG;MV"
"SgPl","Wichí Lhamtés Nocten","wich1262","SgPl-01 == no & SgPl-19 == yes","","AG"
"SgPl","Burushaski","buru1296","SgPl-08 == ""yes"" & SgPl-09 == 0 ==> this means all posture alternation is a regular pattern; we expect this to be rare","","DI;DP;MV"
"SgPl","Coahuilteco","coah1252","SgPl-08 == ""yes"" & SgPl-09 == 0 ==> this means all posture alternation is a regular pattern; we expect this to be rare","","MV;SH"
"SgPl","Ket","kett1243","SgPl-08 == ""yes"" & SgPl-09 == 0 ==> this means all posture alternation is a regular pattern; we expect this to be rare","","AG;DI;DP;MV"
"SgPl","Irántxe-Münkü","iran1263","SgPl-10 == ""yes"" & SgPl-11 == 0 ==> this means all motion alternation is a regular pattern; we expect this to be rare","","DP;MV"
"MonPl","Cherokee","cher1273","MonPl-03 == s | a | p & MonPl-05 != no","","SH"
"MonPl","Teko","emer1243","MonPl-03 == s | a | p & MonPl-05 != no","","NCP;NJM"
"MonPl","Huallaga Huánuco Quechua","hual1241","MonPl-03 == s | a | p & MonPl-05 != no","","AG;SH"
"MonPl","Ineseño","ines1240","MonPl-03 == s | a | p & MonPl-05 != no","","SH"
"MonPl","Kashaya","kash1280","MonPl-03 == s | a | p & MonPl-05 != no","","DI;SH"
"MonPl","Lakota","lako1247","MonPl-03 == s | a | p & MonPl-05 != no","","MV"
"MonPl","Maricopa","mari1440","MonPl-03 == s | a | p & MonPl-05 != no","","DI;SH"
"MonPl","Matsés","mats1244","MonPl-03 == s | a | p & MonPl-05 != no","","AG;DI;MV"
"MonPl","Natchez","natc1249","MonPl-03 == s | a | p & MonPl-05 != no","","SH"
"MonPl","Tonkawa","tonk1249","MonPl-03 == s | a | p & MonPl-05 != no","","SH"
"MonPl","Washo","wash1253","MonPl-03 == s | a | p & MonPl-05 != no","","DI;SH"
"MonPl","Wichí Lhamtés Nocten","wich1262","MonPl-03 == s | a | p & MonPl-05 != no","","AG;SH"
