"ParameterID","FeatureSet","Name","Question","PossibleStates","datatype","Derived"
"Cor-02a","Cor","Sibilant affricates present","Are there sibilant affricates at all?","no | yes","""single-valued""","TRUE"
"Cor-02b","Cor","Sibilant affricates <= 1 | > 1","Are there up to 1 or more than 1 distinctions among sibilant affricates?","up to 1 | more than 1","""single-valued""","TRUE"
"Cor-02c","Cor","Sibilant affricates <= 2 | > 2","Are there up to 2 or more than 2 distinctions among sibilant affricates?","up to 2 | more than 2","""single-valued""","TRUE"
"Cor-02d","Cor","Sibilant affricates <= 3 | > 3","Are there up to 3 or more than 3 distinctions among sibilant affricates?","up to 3 | more than 3","""single-valued""","TRUE"
"Cor-03","Cor","Sibilant fricatives","How many places of articulation does the language have for sibilant fricatives?","_number_","""integer""","FALSE"
"Cor-03a","Cor","Sibilant fricatives present","Are there sibilant fricatives at all?","no | yes","""single-valued""","TRUE"
"Cor-03b","Cor","Sibilant fricatives <= 1 | > 1","Are there up to 1 or more than 1 distinctions among sibilant fricatives?","up to 1 | more than 1","""single-valued""","TRUE"
"Cor-03c","Cor","Sibilant fricatives <= 2 | > 2","Are there up to 2 or more than 2 distinctions among sibilant fricatives?","up to 2 | more than 2","""single-valued""","TRUE"
"Cor-04","Cor","Retroflex plosive","Does the language have at least one retroflex plosive?","yes | no","""single-valued""","FALSE"
"Cor-04a","Cor","Retroflex plosive if multiple plosives","Does the language have at least one retroflex plosive, if there are at least 2 places of articulation for coronal plosives?","NA | yes | no","""single-valued""","TRUE"
"Cor-05","Cor","Dental plosive","Does the language have at least one dental stop?","yes | no","""single-valued""","FALSE"
"Cor-06","Cor","Dental fricative","Does the language have at least one phonemic dental fricative (θ, ð)?","yes | no","""single-valued""","FALSE"
"Cor-07","Cor","Retroflex sibilant","Does the language have at least one retroflex sibilant?","yes | no","""single-valued""","FALSE"
"Cor-07a","Cor","Retroflex sibilant if multiple sibilants","Does the language have at least one retroflex sibilant, if there are at least 2 places of articulation for sibilants?","NA | yes | no","""single-valued""","TRUE"
"Cor-08","Cor","Presence of /ʂ/","If <yes> to Cor-07, is one of those retroflex sibilants /ʂ/?","yes | no | NA","""single-valued""","FALSE"
"Cor-09","Cor","Presence of /ʐ/","If <yes> to Cor-07, is one of those retroflex sibilants /ʐ/?","yes | no | NA","""single-valued""","FALSE"
"Dem-001","Dem","Demonstrative function","What is the functional syntactic category of the demonstrative paradigm which notionally modifies nouns?","adnominal | pronominal | adverbial","""single-valued""","FALSE"
"Dem-002","Dem","Pronominal demonstrative function","If <adnominal> or <adverbial> to Dem-001, does the language have any demonstratives which serve the pronominal function?","NA | yes | no","""single-valued""","FALSE"
"Dem-003","Dem","Pro- & ad-nominal demonstratives are the same","If <yes> to Dem-002, do pronominal demonstratives have the same semantic distinctions as the (adnominal or adverbial) demonstratives used to notionally modify nouns, regardless of whether these syntactic functions are expressed with the same or different paradigms?","NA | yes | no","""single-valued""","FALSE"
"Dem-01","Dem","Demonstrative distance","How many levels of distance do (notionally) adnominal demonstratives have?","_number_","""integer""","FALSE"
"Dem-01a","Dem","Presence of demonstrative distance","Is a distance distinction included in the semantic properties of demonstratives?","yes | no","""single-valued""","TRUE"
"Dem-01b","Dem","Demonstrative distance = 2 | > 2","If a distance distinction is present (i.e. if <yes> to Dem-01a), are there either 2 or more than 2 distance levels distinguished in demonstratives?","2 | more than 2 | NA","""single-valued""","TRUE"
"Dem-01c","Dem","Demonstrative distance <= 3 | > 3","If a distance distinction is present (i.e. if <yes> to Dem-01a), are there up to 3 or more than 3 distance levels distinguished in demonstratives?","up to 3 | more than 3 | NA","""single-valued""","TRUE"
"Dem-01d","Dem","Demonstrative distance <= 4 | > 4","If a distance distinction is present (i.e. if <yes> to Dem-01a), are there up to 4 or more than 4 distance levels distinguished in demonstratives?","up to 4 | more than 4 | NA","""single-valued""","TRUE"
"Dem-02","Dem","Demonstrative (in)visibility","Do (notionally) adnominal demonstratives distinguish between visible and invisible entities?","yes | no","""single-valued""","FALSE"
"Dem-03","Dem","Demonstrative position/posture","Do (notionally) adnominal demonstratives distinguish position in space or posture of the entity?","yes | no","""single-valued""","FALSE"
"Dem-04","Dem","Demonstrative movement","Do (notionally) adnominal demonstratives distinguish movement of the entity?","yes | no","""single-valued""","FALSE"
"Dem-05","Dem","Demonstrative altitude","Do (notionally) adnominal demonstratives distinguish altitude?","yes | no","""single-valued""","FALSE"
"Gend-01","Gend","Genderlect","Is there a categorical genderlect distinction?","yes | no","""single-valued""","FALSE"
"Gend-02","Gend","Genderlect phonology","If <yes> to Gend-01, is there a categorical genderlect distinction within phonetics or phonology?","NA | yes | no","""single-valued""","FALSE"
"Gend-03","Gend","Genderlect phonology indexation","If <yes> to Gend-02, of which speech act participant does the phonetic/phonological distinction index the gender?","NA | speaker | addressee | both | mixed","""single-valued""","FALSE"
"Gend-03a","Gend","Genderlect speech act participant","If <yes> to Gend-01, which speech act participant do the indexical markers index the gender of?","NA | speaker | addressee | both | mixed","""single-valued""","TRUE"
"Gend-04","Gend","Genderlect morphology","If <yes> to Gend-01, is there a categorical genderlect distinction conveyed by grammatical morphemes?","NA | yes | no","""single-valued""","FALSE"
"Gend-05","Gend","Genderlect morphology indexation","If <yes> to Gend-04, of which speech act participant does the morphological distinction index the gender?","NA | speaker | addressee | both | mixed","""single-valued""","FALSE"
"Gend-06","Gend","Genderlect morphology intersubjectivity","If <yes> to Gend-04, is the morphological distinction encoded in elements participating in (inter)subjectivity?","NA | exclusively | non exclusively | no","""single-valued""","FALSE"
"Gend-07","Gend","Genderlect lexicon","If <yes>  to Gend-01, is there a categorical genderlect distinction within the lexicon?","NA | yes | no","""single-valued""","FALSE"
"Gend-08","Gend","Genderlect lexicon number","If <yes>  to Gend-07, for how many words is the categorical genderlect distinction found in the lexicon?","NA | 1-5 | 6-20 | 21 and more","""single-valued""","FALSE"
"Gend-09","Gend","Genderlect lexicon indexation","If <yes>  to Gend-07, of which speech act participant does the lexical distinction index the gender?","NA | speaker | addressee | both | mixed","""single-valued""","FALSE"
"Gend-10","Gend","Genderlect lexicon intersubjectivity","If <yes>  to Gend-07, is the lexical distinction encoded in elements participating in (inter)subjectivity?","NA | exclusively | non exclusively | no","""single-valued""","FALSE"
"Gend-11","Gend","Genderlect lexicon address","If <yes> to Gend-07, does the lexical distinction occur in address terms?","NA | exclusively | non exclusively | no","""single-valued""","FALSE"
"Glot-01","Glot","Glottalized plosives","Does the language have a phonemic distinction between glottalized and non-glottalized plosives?","yes | no","""single-valued""","FALSE"
"Glot-01a","Glot","Glottalized obstruents","Does the language have a phonemic distinction between glottalized and non-glottalized obstruents?","yes | no","""single-valued""","TRUE"
"Glot-02","Glot","Glottalized affricates","Does the language have a phonemic distinction between glottalized and non-glottalized affricates?","yes | no","""single-valued""","FALSE"
"Glot-03","Glot","Glottalized fricatives","Does the language have a phonemic distinction between glottalized and non-glottalized fricatives?","yes | no","""single-valued""","FALSE"
"Glot-03a","Glot","Glottalized fricatives if obstruents","If the language has glottalized obstruents, does it also have a phonemic distinction between glottalized and non-glottalized fricatives?","yes | no | NA","""single-valued""","TRUE"
"Glot-04","Glot","Glottalized nasals","Does the language have a phonemic distinction between glottalized and non-glottalized nasals?","yes | no","""single-valued""","FALSE"
"Glot-04a","Glot","Glottalized resonants","Does the language have a phonemic distinction between glottalized and non-glottalized resonants?","yes | no","""single-valued""","TRUE"
"Glot-04b","Glot","Glottalized resonants if obstruents","If the language has glottalized obstruents (<yes> to Glot-01a), does it have a phonemic distinction between glottalized and non-glottalized resonants?","yes | no | NA","""single-valued""","TRUE"
"Glot-04c","Glot","Glottalized nasals if resonants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized nasals?","yes | no | NA","""single-valued""","TRUE"
"Glot-05","Glot","Glottalized liquids","Does the language have a phonemic distinction between glottalized and non-glottalized liquids?","yes | no","""single-valued""","FALSE"
"Glot-05a","Glot","Glottalized liquids if resonants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized liquids?","yes | no | NA","""single-valued""","TRUE"
"Glot-06","Glot","Glottalized glides","Does the language have a phonemic distinction between glottalized and non-glottalized glides?","yes | no","""single-valued""","FALSE"
"Glot-06a","Glot","Glottalized glides if resonants","If the language has glottalized resonants, does it have a phonemic distinction between glottalized and non-glottalized glides?","yes | no | NA","""single-valued""","TRUE"
"Lat-01","Lat","Laterals","Does the language have a lateral approximant phoneme /l/ or an allophone [l] and if so, with what other allophones does this /l/ or [l] alternate?","laterals or glides | rhotic | n or d | n or d and rhotic | no","""single-valued""","FALSE"
"Lat-01a","Lat","Allophonic [l]","Does the language have an allophonic l?","yes | no","""single-valued""","TRUE"
"Lat-01b","Lat","Phonemic /l/","Does the language have a phonemic l which alternates only with laterals and glides?","yes | no","""single-valued""","TRUE"
"Lat-01c","Lat","[l] allophones","If the language has an allophonic /l/, (i.e. if <yes> to Lat-01a), what does this allophone alternate with?","laterals or glides | rhotic | n or d | NA","""single-valued""","TRUE"
"Lat-02","Lat","Voiceless lateral","Does the language have a phonemic voiceless lateral approximant /l̥/?","yes | no","""single-valued""","FALSE"
"Lat-02a","Lat","Voiceless lateral continuant","Does the language have a phonemic voiceless lateral continuant?","yes | no","""single-valued""","TRUE"
"Lat-02b","Lat","/ɬ/ or /l̥/","If <yes> to Lat-02a, which voiceless lateral continuant does the language have?","fricative | voiceless-approximant | NA","""single-valued""","TRUE"
"Lat-03","Lat","Lateral fricative","Does the language have a phonemic lateral fricative /ɬ/?","yes | no","""single-valued""","FALSE"
"Lat-04","Lat","Lateral affricate plosive","Does the language have a phonemic alveolar lateral affricate /tɬ/?","yes | no","""single-valued""","FALSE"
"Lat-04a","Lat","Lateral affricates if fricatives","If the language has a lateral fricative (i.e. if <yes> to Lat-03), does it have a phonemic lateral affricate /tɬ/ or /tɬ’/?","NA | yes | no","""single-valued""","TRUE"
"Lat-04b","Lat","/tɬ/ if lateral affricates","If the language has a lateral affricate (i.e. if <yes> to Lat-04a), does it have a phonemic /tɬ/?","yes | no | NA","""single-valued""","TRUE"
"Lat-05","Lat","Lateral affricate ejective","Does the language have a phonemic alveolar lateral ejective affricate /tɬ’/?","yes | no","""single-valued""","FALSE"
"Lat-05a","Lat","/tɬ'/ if lateral affricates","If the language has a lateral affricate (i.e. if <yes> to Lat-04a), does it have /tɬ’/?","yes | no | NA","""single-valued""","TRUE"
"Lat-06","Lat","Palatal lateral","Does the language have a phonemic palatal lateral approximant /ʎ/?","yes | no","""single-valued""","FALSE"
"MonPl-01","MonPl","Monoexponential plurals","Is there at least one monoexponential verbal plural marker on the verb (or clause), i.e. separate from person marking, that applies to at least one argument?","yes | no","""single-valued""","FALSE"
"MonPl-02","MonPl","Monoexponential plural irregularity","If <yes> to MonPl-01, is there at least one monoexponential verbal plural with forms irregularly applied across the entire lexicon, in a manner akin to a conjugation class?","yes | no | NA","""single-valued""","FALSE"
"MonPl-03","MonPl","Monoexponential plural single argument","If <yes> to MonPl-01, is there at least one monoexponential verbal plural that marks only one argument, and if so which argument does each monoexponential plural index?","NA | no | [s:_frequency_ , a:_frequency_ , p:_frequency_]","""frequency""","FALSE"
"MonPl-03a","MonPl","Monoexponential plural S","If <yes> to MonPl-01, is there a monoexponential plural marker that marks S to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-03b","MonPl","Monoexponential plural A","If <yes> to MonPl-01, is there a monoexponential plural marker that marks A to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-03c","MonPl","Monoexponential plural P","If <yes> to MonPl-01, is there a monoexponential plural marker that marks P to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-04","MonPl","Monoexponential plural event","If <yes> to MonPl-01, can at least one monoexponential verbal plural indicate event (E) plurality?","yes | no | NA","""single-valued""","FALSE"
"MonPl-05","MonPl","Monoexponential plural multiple arguments","If <yes> to MonPl-01, is there at least one monoexponential verbal plural that marks two arguments, and if so which arguments does each monoexponential plural index?","NA | no | [sa:_frequency_ , sp:_frequency_ , sap:_frequency_]","""frequency""","FALSE"
"MonPl-05a","MonPl","Monoexponential plural SA","If <yes> to MonPl-01, is there a monoexponential plural marker that marks SA to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-05b","MonPl","Monoexponential plural SP","If <yes> to MonPl-01, is there a monoexponential plural marker that marks SP to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-05c","MonPl","Monoexponential plural SAP","If <yes> to MonPl-01, is there a monoexponential plural marker that marks SAP to the exclusion of other roles?","yes | no | NA","""single-valued""","TRUE"
"MonPl-05d","MonPl","Monoexponential plural intransitive roles","Is there a monoexponential plural that marks the intransitive role (S)?","yes | no","""single-valued""","TRUE"
"MonPl-05e","MonPl","Monoexponential plural transitive roles","If there is a monoexponential plural that marks transitive roles, which role(s) does it mark?","NA | A and P | A | P","""single-valued""","TRUE"
"MonPl-06","MonPl","Monoexponential plural list","If <yes> to MonPl-01, where do the monoexponential verbal plural(s) appear in the language?","NA | [ sape & oblique & subordinate clause & noun & pronoun & adjective & demonstrative & numeral & particle & adposition & adverb ]","""single-valued""","FALSE"
"MonPl-06a","MonPl","Monoexponential plural parts of speech","If there is at least one monoexponential verbal plural, on what other parts of speech can it/they mark plurality (""other"" = particle, numeral, adposition, adverb)?","NA | None | ; separated list of [ noun, pronoun, adjective, demonstrative, other ]","""multi-valued""","TRUE"
"MonPl-06b","MonPl","Monoexponential plural with nouns","If there is at least one monoexponential verbal plural, is one of these markers also used to mark plurality on nouns?","yes | no | NA","""single-valued""","TRUE"
"NounPoss-01","NounPoss","Possession classes number","How many morphosyntactically distinct possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-01a","NounPoss","Possession classes binned","How many morphosyntactically distinct possession classes are there (binned)?","1 | 2 | 3-or-more","""single-valued""","TRUE"
"NounPoss-02","NounPoss","Possession classes semantic types","What are the semantic types of the possession classes?","; separated list of [ default:_frequency_, conceptually inalienable:_frequency_, conceptually non-possessible:_frequency_, mixed:_frequency_ ]","""frequency""","FALSE"
"NounPoss-03","NounPoss","Conceptually inalienable classes number","How many conceptually inalienable possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-03a","NounPoss","Conceptually inalienable","Is there at least one conceptually inalienable class?","yes | no","""single-valued""","TRUE"
"NounPoss-03b","NounPoss","Conceptually inalienable and obligatorily possessed","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one which is obligatorily possessed in terms of valence?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-03c","NounPoss","Kinship without body","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one class that consists of kinship terms without body part terms?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-03d","NounPoss","Body without kinship","If there is at least one conceptually inalienable class (i.e. if <yes> to NounPoss-03a), is there at least one class that consists of body part terms without kinship terms?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-04","NounPoss","Conceptually nonpossessible classes number","How many conceptually non-possessible possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-04a","NounPoss","Conceptually nonpossessible if 2+","If there are at least two possession classes, is there at least one conceptually non-possessible class?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-04b","NounPoss","Conceptually nonpossessible and nonpossessible valence","If there is at least one conceptually non-possessible class (i.e. if <yes> to NounPoss-04a), is there at least one which is non-possessible in terms of valence?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-05","NounPoss","Mixed classes number","How many mixed possession classes are there?","_number_","""integer""","FALSE"
"NounPoss-06","NounPoss","Inalienable semantic categories","What are the semantic categories included in conceptually inalienable classes?","NA | ; separated list of [ body, kin, part, relation, intimate_property ]","""multi-valued""","FALSE"
"NounPoss-07","NounPoss","Nonpossessible semantic categories","What are the semantic categories included in conceptually non-possessible classes?","NA | ; separated list of [ plants, nature_inanimate, humans, animals, names ]","""multi-valued""","FALSE"
"NounPoss-08","NounPoss","Default possession construction","What are the nominal possession constructions used for the default possession class?","; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-08a","NounPoss","Default class PSSR marking","If the default class is possessed with some type of MARKER construction, does this include PSSR marking?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-08b","NounPoss","Default class PSSD marking","If the default class is possessed with some type of MARKER construction, does this include PSSD marking?","NA | yes | no","""single-valued""","TRUE"
"NounPoss-08c","NounPoss","Default class locus of marking","If the default class is possessed with some type of MARKER construction that is not a LINKER construction, what is the locus of this marker or markers?","NA | PSSR | PSSD | PSSR and PSSD","""single-valued""","TRUE"
"NounPoss-09","NounPoss","Inalienable possession construction","What are the nominal possession constructions used for conceptually inalienable classes, if present?","NA | ; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-10","NounPoss","Nonpossessible possession construction","What are the nominal possession constructions used for conceptually non-possessible classes, if present?","NA | ; list of [ PSSR, PSSD, PSSR and PSSD, LINKER, JUXT, CLAUSE, CLASS, NULL, UNKNOWN ]","""multi-valued""","FALSE"
"NounPoss-11","NounPoss","Inalienable unpossession","If there is a conceptually inalienable possession class, what are its unpossession constructions?","NA | ; separated list of [ Noun, NULL, SPECIAL_MARKER, ARTICLE, 1SG, 1PL, 1INCL, 3, 3SG, 3SG.N, 3SG.F, 3SG.M, 3.INAN, 3.INDEF ]","""multi-valued""","FALSE"
"NounPoss-12","NounPoss","JUXT construction classes","Is there a JUXT possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-12a","NounPoss","JUXT construction classes binned","Is there a JUXT possession construction and if so, with what class(es) is it associated?”","no JUXT | default plus | only inalienables","""single-valued""","TRUE"
"NounPoss-13","NounPoss","PSSR construction classes","Is there a  PSSR possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-14","NounPoss","PSSD construction classes","Is there a PSSD possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-15","NounPoss","PSSR-PSSD construction classes","Is there a PSSR and PSSD possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-16","NounPoss","CLAUSE construction classes","Is there a CLAUSE possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-16a","NounPoss","CLAUSE construction presence","Is there a CLAUSE possession construction?","yes | no","""single-valued""","TRUE"
"NounPoss-17","NounPoss","CLASS construction classes","Is there a CLASS possession construction and if so, for which conceptual classes?","no | ; list of [ default, inalienable, non-possessible, mixed ]","""multi-valued""","FALSE"
"NounPoss-17a","NounPoss","CLASS construction classes binned","Is there a CLASS possession construction and if so, with what class(es) is it associated?","none | default plus | only non-possessibles","""single-valued""","TRUE"
"NounPoss-18","NounPoss","PSSD agreement with PSSR","If any head-marking construction is used (PSSD or PSSR and PSSD), does the possessed noun contain any agreement with the possessor?","NA | yes | no","""single-valued""","FALSE"
"NounPoss-19","NounPoss","PSSD with no agreement","If any head-marking is present (PSSD or PSSR and PSSD), is there any morpheme which only marks the possessed noun without agreeing with the possessor?","NA | yes | no","""single-valued""","FALSE"
